"001","Architects Registration Board (ARB)"
"002","Archives and Records Association (ARA)"
"003","Association for Nutrition"
"004","Association for Project Management (APM)"
"005","Association of Accounting Technicians (AAT)"
"006","Association of Chartered Certified Accountants (ACCA)"
"007","Association of International Accountants (AIA)"
"008","Association of MBAs (AMBA)"
"009","Association to Advance Collegiate Schools of Business (AACSB)"
"010","Bar Council"
"011","BCS the Chartered Institute for IT"
"012","Board of Quantity Surveyors Malaysia (BQSM)"
"013","British Acupuncture Accreditation Board (BAAB)"
"014","British Association for Counselling & Psychotherapy (BACP)"
"015","British Association of Art Therapists (BAAT)"
"016","British Association of Lecturers in English for Academic Purposes (BALEAP)"
"017","British Association of Occupational Therapists and College of Occupational Therapists (BAOT)"
"018","British Association of Sport and Exercise Science (BASES) "
"019","British Dyslexia Association (BDA)"
"020","British Psychological Society (BPS)"
"021","Broadcast Journalism Training Council (BJTC)"
"022","Care Council for Wales"
"023","Chartered Accountants Ireland "
"024","Chartered Financial Analyst Institute (CFA)"
"025","Chartered Institute for Securities and Investment (CISI)"
"026","Chartered Institute of Arbitrators (CIArb)"
"027","Chartered Institute of Architectural Technologists (CIAT)"
"028","Chartered Institute of Building (CIOB)"
"029","Chartered Institute of Environmental Health (CIEH)"
"030","Chartered Institute of Highways & Transportation (CIHT)"
"031","Chartered Institute of Housing (CIH)"
"032","Chartered Institute of Library and Information Professionals (CILIP)"
"033","Chartered Institute of Logistics and Transport (CILT)"
"034","Chartered Institute of Management Accountants (CIMA)"
"035","Chartered Institute of Marketing (CIM)"
"036","Chartered Institute of Personnel and Development (CIPD)"
"037","Chartered Institute of Public Finance & Accountancy (CIPFA)"
"038","Chartered Institute of Public Relations (CIPR)"
"039","Chartered Institute of Purchasing and Supply (CIPS)"
"040","Chartered Institution of Building Services Engineers (CIBSE)"
"041","Chartered Institution of Wastes Management (CIWM)"
"042","Chartered Institution of Water and Environmental Management (CIWEM)"
"043","Chartered Insurance Institute (CII)"
"044","Chartered Management Institute (CMI)"
"045","Chartered Society of Designers (CSD)"
"046","Chartered Society of Physiotherapy (CSP)"
"047","College of Operating Department Practitioners (CODP)"
"048","Consortium for the Accreditation of Sonographic Education (CASE)"
"049","Council for Healthcare Regulatory Excellence (CHRE)"
"050","Education and Training Directorate (ETI)"
"051","Energy Institute (EI)"
"052","Engineering Council "
"053","Estyn"
"054","European Association of Establishments for Veterinary Education (EAEVE)"
"055","European Quality Improvement System (EQUIS)"
"056","Forensic Science Society (FSSoc)"
"057","General Chiropractic Council (GCC)"
"058","General Dental Council (GDC)"
"059","General Medical Council (GMC)"
"060","General Optical Council (GOC)"
"061","General Osteopathic Council (GOsC)"
